Day,Date,Base,Drive,Drive Time,Directions,Breakfast,Lunch,Dinner,Stops,Activities,Group Notes,Lodging,Latitude,Longitude,Points of Interest
1,2027-05-28,Oslo,,,,Hotel buffet included,Picnic from Kiwi supermarket near hotel,"Mathallen Food Hall in Grünerløkka — each person picks their own vendor. Afterwards, grab a drink at Hallen Cocktailbar.",,"Fly into Oslo Airport (OSL): Depart from Pittsburgh (PIT) or Morgantown (MGW). EDT → CEST (+6h); Vigeland Sculpture Park: 200+ bronze, granite, and iron sculptures in Frogner Park. The Angry Boy and Monolith are must-sees; Oslo Opera House roof walk: Walk the sloping marble roof for iconic city + fjord views; Aker Brygge waterfront walk: Stroll the harbor promenade with shops, restaurants, and marina views; Mathallen Food Hall in Grünerløkka: Oslo's premier food hall. Each person picks their own vendor. Afterwards, grab a drink at Hallen Cocktailbar","Arrive in Oslo. Keep Day 1 light — outdoor walking only. Vigeland Park: open air, easy walking. The Opera House roof is a must for sunset. Get dinner at Mathallen Food Hall in Grünerløkka.",Budget: Citybox Oslo ($95/night) | Mid: Radisson RED Oslo ($118/night) | Premium: Grand Hotel Oslo ($285/night),59.9139,10.7522,Vigeland Park; Opera House
2,2027-05-29,Oslo,,,,Hotel buffet included,Fram Museum café,"Restaurant Schrøder — historic 1910 Norwegian tavern. Kjøttkaker (meatballs), fårikål (lamb and cabbage). After dinner, walk through the palace gardens.",,"Fram Museum (polar ship): Polar exploration ship on Bygdøy. Walk inside the actual Fram. Interactive exhibits throughout; Norwegian Folk Museum: Open-air museum with historic buildings from across Norway. Stave church replica, farmhouses, and Sami exhibits; Grünerløkka neighborhood walk: Oslo's hippest neighborhood. Street art, vintage shops, cafés along the Akerselva river; Akershus Fortress sunset walk: Medieval castle and fortress overlooking Oslo Fjord. Cannons and ramparts on display","Full day to explore Oslo. Morning: Fram Museum on Bygdøy. Afternoon: Norwegian Folk Museum (next to Fram). Evening: walk through Grünerløkka for dinner, then Akershus Fortress for sunset views.",Budget: Citybox Oslo ($95/night) | Mid: Radisson RED Oslo ($118/night) | Premium: Grand Hotel Oslo ($285/night),59.9139,10.7522,Fram Museum; Norwegian Folk Museum; Akershus Fortress
3,2027-05-30,Flåm,,,,Hotel buffet,Picnic from Oslo Central Station bakery or onboard train café,"Ægir BrewPub — Flåm's legendary microbrewery. Viking-themed interior. Bryggsoup (beer soup), reindeer stew, fresh-caught trout. Pair with their award-winning stouts and IPAs.",,"Bergen Railway: Oslo → Myrdal: One of the world's most scenic train routes. Sit on the LEFT side for best mountain views; Flåm Railway: Myrdal → Flåm: World's most beautiful train ride. Steep descent through 20 tunnels and waterfalls. The train stops at Kjosfossen for photos; Kjosfossen waterfall stop: The Flåm Railway stops at Kjosfossen. In summer, dancers perform folklore by the waterfall; Ægir BrewPub evening: Flåm's legendary microbrewery. Viking-themed interior. Bryggsoup (beer soup), reindeer stew, fresh-caught trout. Pair with their award-winning stouts and IPAs",One of the most epic travel days in the world. Morning: Bergen Railway from Oslo to Myrdal — sit on the LEFT side for best mountain views. Transfer to Flåm Railway at Myrdal — world-famous steep descent. The train stops at Kjosfossen waterfall for photos. Arrive Flåm by late afternoon.,Budget: Flåm Camping & Hostel ($90/night) | Mid: Flåm Marina & Apartment ($150/night) | Premium: Fretheim Hotel ($230/night),60.8626,7.1142,Flåm Railway; Kjosfossen
4,2027-05-31,Flåm,,,,Hotel buffet included,"Packed lunch from Flåm Co-op — bread, Norvegia cheese, apples, Kvikk Lunsj","Flåm Station Restaurant — traditional Norwegian buffet in the historic station building. Lamb stew, salmon, local cheeses. After dinner, walk the fjord at golden hour (10pm sunset!)",,"Nærøyfjord cruise (UNESCO): The narrowest fjord in Europe. UNESCO World Heritage. Mountains rise 1,700m straight from the water; Stillwater kayaking on Aurlandsfjord: Glassy, serene fjord paddling. Suitable for all skill levels. One of the most recommended Lofoten activities across 80% of sources; Stegastein viewpoint: Epic viewpoint platform jutting 30m over the fjord. 30 min drive from Flåm. 90% of sources recommend this; RIB safari on Nærøyfjord: High-speed RIB boat through the narrow fjord. 60% of sources recommend for adrenaline seekers; Floating sauna + fjord dip: Traditional wood-fired floating sauna on the fjord. Hot sauna then cold plunge into the fjord",Fjord day! Morning: Nærøyfjord cruise UNESCO — the narrowest fjord in Europe. Midday: stillwater kayaking on Aurlandsfjord. Afternoon: Drive up to Stegastein viewpoint (30 min from Flåm). For the adventurous: afternoon RIB safari. Evening: floating sauna on the fjord.,Budget: Flåm Camping & Hostel ($90/night) | Mid: Flåm Marina & Apartment ($150/night) | Premium: Fretheim Hotel ($230/night),60.8626,7.1142,Nærøyfjord; Stegastein
5,2027-06-01,Bergen,Flåm → Bergen (via Aurlandsfjellet),~2.5h,Take the scenic Aurlandsfjellet Snow Road (Fv243) — one of Norway's highest mountain passes → Stop at viewpoint overlooking Aurlandsfjord → Descend to Gudvangen and continue along E16 → Arrive Bergen by early afternoon,Hotel buffet,Roadside picnic at Aurlandsfjellet viewpoint,"Bryggen Tracteursted — historic 1708 Hanseatic merchant house. Traditional Norwegian stews on candlelit wooden tables. After dinner, walk through the colorful Bryggen wharf lit up at night.",Aurlandsfjellet Snow Road: One of 18 Norwegian Scenic Routes. Snow-covered even in late May! Epic fjord views at the top,"Scenic drive via Aurlandsfjellet Snow Road: One of Norway's most epic mountain roads. The Fv243 climbs above the treeline with jaw-dropping fjord views; Aurlandsfjellet viewpoint stop: Snow-covered even in late May! Panoramic views over Aurlandsfjord from 1,300m; Evening Bryggen walk: Explore the colorful Hanseatic wharf, a UNESCO World Heritage site. Perfect for sunset photos",Short drive day. Drive the Aurlandsfjellet Snow Road — one of Norway's most epic mountain roads. Unlikely to be fully open in late May but the lower section is spectacular. Arrive Bergen early afternoon. Evening: explore Bryggen wharf.,Budget: Citybox Bergen ($100/night) | Mid: Zander K Hotel ($150/night) | Premium: Hotel Norge by Scandic ($260/night),60.3913,5.3221,Aurlandsfjellet; Bryggen
6,2027-06-02,Bergen,,,,Hotel buffet included,"Bergen Fish Market — fresh shrimp sandwich (most popular), fish soup, whale sausage for the adventurous","Lysverket — Michelin-listed New Nordic. Tasting menu with local seafood, game, and foraged ingredients. For a more budget-friendly option: Pingvinen for raspeballer (potato dumplings). After dinner, cocktails at No Stress Bar.",,"Fløibanen funicular to Mt. Fløyen: Bergen's iconic funicular. 320m up for panoramic views. Walking trails and playground at top; Bergen Fish Market: World-famous indoor/outdoor market. Fresh seafood, local specialties. Grab a shrimp sandwich; Bryggen UNESCO waterfront & Hanseatic Museum: UNESCO wharf and museum about German Hanseatic merchants. Colorful wooden buildings; Mt. Ulriken cable car: Bergen's highest mountain (643m). Restaurant at top with 360° views. Even better than Fløyen; Food walking tour: Smørrebrød, local cheeses, seafood. Sample Bergen's food scene with a local guide",Full day in Bergen. Morning: Bryggen and Hanseatic Museum. Ride Fløibanen funicular. Lunch at the Fish Market. Afternoon: food walking tour or Ulriken cable car. Evening: sunset drinks atop Mt. Fløyen.,Budget: Citybox Bergen ($100/night) | Mid: Zander K Hotel ($150/night) | Premium: Hotel Norge by Scandic ($260/night),60.3913,5.3221,Mt. Fløyen; Bryggen; Fish Market
7,2027-06-03,Lofoten (Reine),,,,Bergen hotel breakfast,Bodø airport — fresh seafood soup at the airport restaurant,Anita's Sjømat — legendary fish burger (cited by EVERY Lofoten source). Fresh fried cod/battered fish on a bun. Eat at the outdoor tables with epic Reinefjord views.,,Fly Bergen (BGO) → Leknes (LKN): Widerøe or SAS. Usually connects through Bodø (BOO). Book 3-5 months ahead; Pick up rental car at Leknes Airport: Each family rents their own car. Lofoten summer cars go fast — book early. Mid-size SUV recommended; Settle into rorbu cabin in Reine / Hamnøy: Traditional red fisherman cabins right on the water. One of the most iconic accommodations in Norway; Anita's Sjømat fish burger: Legendary fish burger — cited by EVERY Lofoten source. Fresh fried cod on a bun. Eat at outdoor tables with epic Reinefjord views,Travel day to Lofoten! Fly from Bergen (BGO) to Leknes (LKN) — usually one stop in Bodø. Pick up rental cars at Leknes Airport. Drive to Reine (30 min). Check into rorbu cabin. Evening: Anita's Sjømat for the famous fish burger.,Budget: Reine Rorbuer ($95/night) | Mid: Eliassen Rorbuer ($165/night) | Premium: Hamnøy Rorbuer ($300/night),67.9333,13.0833,Leknes Airport; Reine
8,2027-06-04,Lofoten,,,,Self-cater rorbu kitchen or bakery in Reine,"Bacalao Restaurant (Reine) — traditional dried and salted cod dish (bacalao), Norway's national seafood",Self-cater at rorbu or Lofoten Food Studio — New Nordic tasting menu with locally sourced Arctic ingredients,,"Reinebringen hike: #1 hike in Lofoten — cited in EVERY source. STEEP (780 steps, 450m elevation). The view of Reinefjorden from the top is the most iconic in Norway. Start early; Hamnøy photography: The most photographed view in Norway. Red rorbuer reflected in the fjord. Best light in early morning or midnight sun; Stillwater kayaking on Reinefjorden: Glassy, serene paddling through the Lofoten archipelago. 70% of sources recommend this. Suitable for all levels; Å village: Traditional fishing village at the end of the Lofoten road. Historical fishing museum and Norsk Fiskeværsmuseum","Epic Lofoten day! MORNING: Reinebringen hike — STEEP (780 steps, 450m elevation) but the view of Reinefjorden from the top is the most iconic in Norway. Start early (midnight sun means no darkness). Allow 2-3 hours round trip. MIDDAY: kayak the glassy Reinefjorden. AFTERNOON: drive to Å village or photograph Hamnøy. EVENING: relax at your rorbu.",Budget: Reine Rorbuer ($95/night) | Mid: Eliassen Rorbuer ($165/night) | Premium: Hamnøy Rorbuer ($300/night),67.9333,13.0833,Reinebringen; Hamnøy; Å i Lofoten
9,2027-06-05,Lofoten,,,,Self-cater rorbu,Henningsvær Brygge — fish soup with fresh Arctic cod in a historic wharf building,Fiskekrogen — fine dining seafood in Reine. Tasting menu featuring local Lofoten catches. Or self-cater at rorbu with groceries from Coop Reine.,,"Henningsvær fishing village: The ""Venice of Lofoten"" — 90% of sources recommend. Fishing village built on a cluster of islands. Galleries, cafés, harbor views; Haukland & Uttakleiv beaches: White sand + turquoise water + Arctic mountains — looks like the Caribbean in the Arctic. 80% of sources recommend. Surreal rock formations at Uttakleiv; Nusfjord fishing village: UNESCO-protected fishing village. 70% of sources recommend. One of Norway's best-preserved fishing villages; Flex / weather day: Every Lofoten author says build in a flex day. More kayaking, another hike, rorbu downtime, or Lofoten Viking Museum at Borg (40 min north). Weather changes constantly — adjust based on conditions","Lofoten flex day. OPTION A: Drive north — Henningsvær (the ""Venice of Lofoten""), Haukland Beach (white sand + turquoise water + Arctic mountains — looks like the Caribbean in the Arctic), Uttakleiv Beach (surreal rock formations). OPTION B: Relax day — stay near Reine. More kayaking, another hike, rorbu downtime. OPTION C: Museum day — Lofoten Viking Museum at Borg (40 min north). The weather changes constantly in Lofoten — adjust based on conditions.",Budget: Reine Rorbuer ($95/night) | Mid: Eliassen Rorbuer ($165/night) | Premium: Hamnøy Rorbuer ($300/night),67.9333,13.0833,Henningsvær; Haukland Beach; Nusfjord
10,2027-06-06,Depart,,,,Self-cater rorbu — last Norwegian breakfast,Leknes Airport or Bodø Airport — last salmon wrap,In flight,,"Morning hike: Ryten (Kvalvika Beach view): Moderate hike (543m elevation). The view of Kvalvika Beach from the summit is epic. 60% of sources recommend this as a departure-day hike; Fly home from Leknes (LKN): LKN → BOO → OSL → US or LKN → OSL → US. Aim for late morning / early afternoon departure to avoid tight connections; Duty-free shopping: Norwegian wool, brunost, peppermakkels, aquavit at Leknes or Bodø airport","Departure day from Leknes (LKN). Fly LKN → BOO → OSL → US or LKN → OSL → US. Morning hike: Ryten (the Kvalvika Beach view is epic, 2-3h round trip, moderate). Or last beach walk. Aim for late morning/early afternoon departure to avoid tight connections.",—,67.9333,13.0833,Ryten; Leknes Airport
