Day,Date,Base,Drive,Drive Time,Directions,Breakfast,Lunch,Dinner,Stops,Activities,Group Notes,Lodging,Latitude,Longitude,Points of Interest
1,2027-05-28,Oslo,,,,Included hotel buffet,Godt Brød coffee shop (skolebrød) or Mathallen Oslo food hall,"Mathallen Oslo food hall — each person picks their own vendor. Vulkanfisk for seafood soup, Bjørns for fårikål, or Høst for Norwegian small plates. Afterwards, walk along the Akerselva river or grab a drink at Hallen Cocktailbar",,"Fly into Oslo Airport (OSL): Depart from Pittsburgh (PIT) or Morgantown (MGW). EDT → CEST (+6h); Explore Aker Brygge waterfront: Stroll the harbor promenade with shops, restaurants, and marina views; National Museum: Munch's The Scream, Viking gold, and Norwegian art. Indoor, central, jet-lag-friendly; Oslo Opera House roof walk: Walk the sloping marble roof for iconic city + fjord views; Vigeland Sculpture Park: 200+ bronze, granite, and iron sculptures in Frogner Park. The Angry Boy and Monolith are crowd-pleasers; Grünerløkka evening walk & dinner: Mathallen Oslo food hall with diverse dinner options","Arrive in Oslo. Keep Day 1 light — outdoor walking only, no indoor museums longer than 1 hour. Vigeland Park: open air, easy walking. The Opera House roof is a must for sunset. Early dinner in Grünerløkka.",Budget: Citybox Oslo ($95/night) | Mid: Radisson RED Oslo ($118/night) | Premium: Grand Hotel Oslo ($285/night),59.9139,10.7522,Vigeland Park; Opera House
2,2027-05-29,Oslo,,,,Hotel buffet included,Fram Museum café — waffles and brown cheese with fjord views,"Restaurant Schrøder — historic 1910 Norwegian tavern. Kjøttkaker (meatballs with lingonberry jam), fårikål (lamb and cabbage stew — Norway's national dish), and rice cream for dessert. After dinner, walk through the palace gardens or enjoy a nightcap at the Grand Hotel rooftop bar",,"Fram Museum: Polar exploration ship on Bygdøy. Walk inside the actual Fram. Interactive exhibits throughout; Ekebergparken Sculpture Park: Modern art + forest trails with panoramic Oslo Fjord views. Light hike on wooded paths; Karl Johans gate & city center: Oslo's main street. Shops, cafés, people-watching; Akershus Fortress walk: Medieval castle and fortress overlooking Oslo Fjord. Cannons and ramparts on display",Full day to explore Oslo before heading into the mountains. Morning: Fram Museum (polar exploration). Afternoon: shop Karl Johans gate or hike Ekebergparken. Evening: Akershus Fortress for sunset views.,Budget: Citybox Oslo ($95/night) | Mid: Radisson RED Oslo ($118/night) | Premium: Grand Hotel Oslo ($285/night),59.9139,10.7522,Fram Museum; Akershus Fortress
3,2027-05-30,Rjukan,Oslo → Rjukan (via Telemark),~2h 30 min,Take E18 southwest from Oslo → Exit onto E134 at Drammen towards Notodden → Continue on E134 through the Telemark valley to Rjukan → Brief detour to Heddal Stave Church near Notodden,Hotel buffet or self-catering cabin,"Road picnic — Kiwi supermarket in Notodden: fresh bread, Norvegia cheese, Kvikk Lunsj","Vessia Kro — classic Norwegian roadhouse in the mountains. Reindeer burger with brunost sauce, or slow-cooked moose stew. After dinner, soak in the mountain views from the hotel lounge","Heddal Stave Church: Norway's LARGEST stave church, built c.1250. Triple nave design. The most impressive stave church on the route","Heddal Stave Church: Norway's largest stave church. Triple nave, built 1250. More impressive than Borgund for sheer size; Telemark valley drive: Scenic route through Telemark — deep valleys, historic farms, dramatic mountain passes; Rjukan town walk: UNESCO World Heritage town. Giant mirrors on the mountain reflect winter sunlight into the valley — the sun mirror story is incredible",Easy drive day. Heddal Stave Church is a must-stop — biggest in Norway and genuinely impressive. Arrive Rjukan mid-afternoon. Explore the town — the sun mirror story and heavy water history set up Day 4.,Budget: Rjukan Hytteby ($110/night) | Mid: Rjukan Hotell ($130/night) | Premium: Gausta View ($170/night),59.8833,8.5833,Heddal Stave Church; Rjukan town
4,2027-05-31,Rjukan,,,,Hotel buffet or self-catering,Vemork Museum café — soup and sandwiches in a historic power station,"Gaustablikk Høyfjellshotell restaurant — mountain lodge dining with panoramic views. Reindeer fillet with lingonberry sauce, mountain trout, or traditional sodd (mutton soup with meatballs). After dinner, relax by the fireplace",,"Vemork Heavy Water Museum: WWII Norwegian heavy water sabotage — the Heroes of Telemark! A gripping story of wartime sabotage; Gaustatoppen hike or Gaustabanen tram: Hike Norway's most iconic peak (1,883m) or take the unique tram INSIDE the mountain. Both routes lead to the same epic summit view (1/6 of Norway!); Krossobanen cable car: Northern Europe's oldest cable car (1928). Ride up to Gvepseborg with views over the valley; Rjukan Brewery visit: Local craft brewery in a historic building. Adults sample; teens get sodas",One of the most unique days in Norway. Morning: Vemork Museum — the heavy water sabotage story is riveting (read about it beforehand). Mid-day: Gaustabanen tram ride through the mountain — unforgettable. Late afternoon: Krossobanen for valley views.,Budget: Rjukan Hytteby ($110/night) | Mid: Rjukan Hotell ($130/night) | Premium: Gausta View ($170/night),59.8833,8.5833,Vemork Museum; Gaustabanen
5,2027-06-01,Eidfjord (Hardanger),Rjukan → Hardangervidda → Eidfjord,~3 hr,"Take RV37 north from Rjukan onto Hardangervidda plateau → Cross Hardangervidda — Europe's largest mountain plateau at 1,200m+ → Stop at Hardangervidda National Park visitor center → Descend Måbødalen valley into Hardangerfjord → Arrive at Eidfjord on the Hardangerfjord",Hotel buffet included,Hardangervidda National Park Center café — hot soup and fresh bread. Best reindeer soup on the plateau,"Vik Café & Restaurant — on the Eidfjord harbor. Fresh grilled salmon with Hardanger apples, or local lamb shank. Pair with Hardanger cider (traditional fruit wine from local orchards). After dinner, walk the Eidfjord waterfront at golden hour","Hardangervidda National Park: Norway's largest national park. Wild reindeer herds, vast plateau at 1,250m. A vast, otherworldly landscape; Vøringsfossen Waterfall: Norway's most famous waterfall — 182m free-fall. New cliff-side viewing platforms built into the rock","Hardangervidda crossing: Drive across Europe's largest mountain plateau. Reindeer sightings likely. The vast, otherworldly landscape is unforgettable; Vøringsfossen waterfall: 182m waterfall. New platforms cut into the cliff. Peer over the edge (safely!); Evening walk Eidfjord harbor: Peaceful village right on the Hardangerfjord. Boats, mountains, sunset over the water","The Hardangervidda crossing is magical — a completely different world at 1,200m. Travel in convoy since the plateau road is remote. Stop at the national park center. Vøringsfossen is jaw-dropping — the new platforms let you look straight down 182m. Arrive Eidfjord late afternoon.",Budget: Eidfjord Gjestehus ($100/night) | Mid: Eidfjord Fjell & Fjord Hotel ($160/night) | Premium: Quality Hotel Vøringfoss ($220/night),60.4667,7.0667,Vøringsfossen; Eidfjord
6,2027-06-02,Eidfjord (Hardanger),,,,Hotel buffet included,Fruit farm café — Hardanger apple cake with a view over the fjord,"Eidfjord Gjestehus restaurant — traditional Norwegian lamb shank with Hardanger apple compote, or fresh trout from the fjord. Local cider is a must. After dinner, relax at the hotel with a board game in the common lounge",,"Bondhusbreen Glacier hike: Easy-to-moderate hike to a stunning blue glacier arm of Folgefonna. Walk right up to the ice face and touch the glacier; Hardanger fruit farm tour & cider tasting: Visit a local fruit farm. Taste apples, pears, Hardanger apple cider, and fresh-pressed juice; Hardangerfjord kayak: Guided sea kayak through the fruit orchard-lined fjord. Stillwater, suitable for all skill levels; Hardanger scenic drive: Drive through the fruit orchard region. Snow-capped peaks above, apple blossoms below (late May/early June!)",Full day in Hardangerfjord — one of Norway's most beautiful regions. Morning: Bondhusbreen glacier hike. Afternoon: visit a fruit farm for cider tasting or kayak the fjord. The fruit farms are especially lovely in late May/early June with apple blossoms in bloom.,Budget: Eidfjord Gjestehus ($100/night) | Mid: Eidfjord Fjell & Fjord Hotel ($160/night) | Premium: Quality Hotel Vøringfoss ($220/night),60.4667,7.0667,Bondhusbreen; Hardanger Fruit Route
7,2027-06-03,Bergen,Eidfjord → Voss → Bergen,~4h driving (with activity stops),Take RV7 west from Eidfjord along Hardangerfjord → Stop at Steinsdalsfossen — walk behind the cascade → Detour to Voss via Fv7/Fv48 — rafting on the Raundalselva → Continue E16 from Voss to Bergen → Fantoft Disc Golf near Bergen city center,Hotel buffet included,Steinsdalsfossen café — waffles for the early group; Voss Rafting Center cafe — burgers and coffee for the rafters,"Bare Vestland — modern twist on traditional Norwegian. Pickled herring, reindeer tartare, cloudberry dessert, and the best aquavit list in town. After dinner, walk through the Bryggen wharf lit up at night for photos","Steinsdalsfossen Waterfall: Famous waterfall you can walk BEHIND. Right off RV7. Walk behind the cascading water; Voss Rafting Center: Class 2-3 rapids on Raundalselva River. Guide, wetsuit, gear included. Minimum age 8","Walk behind Steinsdalsfossen: Walk the path behind the cascading water; Scenic Hardanger drive: One of Norway's most beautiful drives — fjord, waterfalls, orchards, mountains; Voss Whitewater Rafting: Mild class 2-3 rapids on the Raundalselva. Guide and gear included; Fantoft Disc Golf (18 holes): Wooded course near Fantoft Stave Church. 10 min from Bergen city center; Evening Bryggen walk: Arrive Bergen by late afternoon. Walk through the Hanseatic wharf's colorful wooden buildings","Scenic drive day from Eidfjord to Bergen. Walk behind Steinsdalsfossen in the morning. From there, the Voss rafting center (class 2-3 rapids on the Raundalselva) is a short detour, or continue directly to Bergen for an afternoon round at Fantoft Disc Golf. Evening Bryggen walk and dinner.",Budget: Citybox Bergen ($137/night) | Mid: Zander K Hotel ($231/night) | Premium: Hotel Norge by Scandic ($260/night),60.3913,5.3221,Steinsdalsfossen; Voss Rafting Center; Fantoft Disc Golf; Bryggen
8,2027-06-04,Bergen,,,,Hotel buffet included,"Fish Market — fresh shrimp sandwich, fish soup, or a whale sausage for the adventurous","Pingvinen — Bergen's best traditional pub. Raspeballer (potato dumplings — a Norwegian West Coast classic) with lamb and gravy, local Hansa beer on tap. After dinner, explore the bars on Nygårdsgaten or relax at the hotel",,"Fløibanen funicular to Mt. Fløyen: Cable car 320m up for panoramic Bergen views. Walking trails and playground at top. Steep ride with city views; Bergen Fish Market: World-famous indoor/outdoor market. Fresh seafood, local specialties. Grab a shrimp sandwich; Bryggen & Hanseatic Museum: UNESCO wharf and museum about German Hanseatic merchants; Mt. Ulriken cable car: Bergen's highest mountain (643m). Restaurant at top with 360° views. Even better than Fløyen","Full day in Bergen. Morning: Fløibanen — the funicular is a Bergen institution. Fish Market for lunch. Afternoon: explore the Bryggen museum, browse the Fish Market, or visit the Hanseatic Museum. Late afternoon: Ulriken cable car. Evening: sunset drinks atop Mt. Fløyen.",Budget: Citybox Bergen ($137/night) | Mid: Zander K Hotel ($231/night) | Premium: Hotel Norge by Scandic ($260/night),60.3913,5.3221,Mt. Fløyen; Mt. Ulriken
9,2027-06-05,Bergen,,,,Hotel buffet included,Godt Brød Bergen — skolebrød (custard-filled cardamom buns) and open-faced sandwiches,"Farewell dinner at Bryggen Tracteursted — candlelit dining in a 1708 Hanseatic merchant building. Reindeer stew, fresh salmon, and a final aquavit toast. Perfect finale to the trip",,"Fjord cruise to Mostraumen: Sightseeing cruise through narrow straits. The boat squeezes through cliffs so narrow you can almost touch both sides; Bergen kayak tour: Guided kayak through Bergen's harbor. Paddle past Bryggen from the water; Last-minute souvenir shopping: Bryggen artisan shops and Galleriet center. Norwegian wool sweaters, troll figurines, brunost; Farewell dinner in Bergen: Final dinner. Bryggen Tracteursted (historic, traditional) or Lysverket (modern Nordic, Michelin-listed)","Last full day in Norway! Morning: Mostraumen fjord cruise — the boat gets SO close to the cliffs. Afternoon: kayak or explore more of Bergen. Evening: farewell dinner at Bryggen Tracteursted — one of Norway's oldest restaurants, right in the Hanseatic wharf.",Budget: Citybox Bergen ($137/night) | Mid: Zander K Hotel ($231/night) | Premium: Hotel Norge by Scandic ($260/night),60.3913,5.3221,Mostraumen
10,2027-06-06,Depart Bergen,,,,Hotel buffet included,Bergen Airport — last salmon grab or sandwiches for the plane,In flight,,"Fly home from Bergen Airport (BGO): CEST → EDT (-6h). Connect via Amsterdam/Copenhagen/Oslo or direct seasonal to US. Return to PIT or MGW; Morning in Bergen (if late flight): Last walk through Bryggen. One more kanelbolle at Godt Brød. Or tour Fantoft Stave Church (reconstructed, 15 min from city); Duty-free at BGO: Norwegian wool, brunost, peppermakkels, aquavit","Departure day from Bergen (BGO). Good connections to European hubs. If on similar flights, arrange a shared transfer.",—,60.2936,5.2181,Bergen Airport
