Day,Date,Base,Drive,Drive Time,Directions,Breakfast,Lunch,Dinner,Stops,Activities,Group Notes,Lodging,Latitude,Longitude,Points of Interest
1,2027-05-28,Oslo,,,,Included hotel buffet,Godt Brød coffee shop (skolebrød) or Mathallen Oslo food hall,"Den Glade Gris — Norwegian pork-focused gastropub (try the ribbe or nakkekoteletter). Or RIB for slow-cooked beef ribs. After dinner, walk to Fuglen — a vintage Norwegian café-bar for a nightcap",,"Fly into Oslo Airport (OSL): Depart from Pittsburgh (PIT) or Morgantown (MGW). EDT → CEST (+6h); Explore Aker Brygge waterfront: Stroll the harbor promenade with shops, restaurants, and marina views; National Museum: Munch's The Scream, Viking gold, and Norwegian art. Indoor, central, jet-lag-friendly; Walk the city center: Karl Johans gate, Royal Palace, Akershus Fortress; Oslo Opera House roof walk: Walk the sloping marble roof for iconic city + fjord views; Ekebergparken Sculpture Park: Modern art + forest trails with panoramic Oslo Fjord views. Light hike; Grünerløkka brewery crawl: Oslo Mikrobryggeri, Klosteret, Det Lille Bryggeri — craft beer for the adults",Arrive in Oslo. Keep Day 1 light — see Jet Lag Playbook. The National Museum (The Scream) and Opera House roof are must-dos. Activities during the day help power through jet lag.,Budget: Citybox Oslo ($95/night) | Mid: Radisson RED Oslo ($118/night) | Premium: Grand Hotel Oslo ($285/night),59.9139,10.7522,
2,2027-05-29,Lom,Oslo → Lom (up Gudbrandsdalen),~5h (with activities),Take E6 north from Oslo through Gudbrandsdalen valley → Stop at Ringebu Stave Church (quick detour off E6) → Continue to Sjoa River for family rafting → Follow RV15 west to Lom,Hotel buffet included,"Sjoa Rafting Center cafe — burgers, coffee, and Kvikk Lunsj for the road, or pack from Matkroken in Otta","Fossheim Hotel restaurant — traditional Gudbrandsdalen lamb stew and local beer in a cozy 1830s timber building. After dinner, walk across the street to see Lom Stave Church lit up at night","Ringebu Stave Church: Built c.1220 in Gudbrandsdalen valley. Medieval interior with original furnishings; Sjoa River rafting: 11 km gentle rafting on Sjoa River. Guide, wetsuit, gear included. Class 1-2 rapids; Lom Stave Church: Built c.1158. One of Norway's largest stave churches. Open May–Sep","Ringebu Stave Church; Sjoa River rafting: Mild whitewater on Sjoa River. Guide, wetsuit included. Class 1-2 rapids — suitable for beginners; Lom Stave Church; Fossheim Bakeri: Norway's best bakery — famous kanelboller and bread; Lom village walk: Charming mountain village. Walk along the Bøvra River and explore the historic center; Medalen Disc Golf (18 holes): Flat course right in Lom village. Quick round for disc golf enthusiasts",Longest drive day but broken up with stops along the Gudbrandsdalen valley. Ringebu Stave Church is a quick detour off E6. The Sjoa River rafting center offers class 1-2 trips. Arrive Lom in the afternoon; Medalen Disc Golf is a free flat course right in the village. Fossheim Bakeri has Norway's best kanelboller — a great spot for pastries and coffee.,Budget: Nordal Turistsenter ($90/night) | Mid: Fossheim Hotel ($140/night) | Premium: Røisheim Hotel ($250/night),61.8378,8.5683,Ringebu Stave Church; Sjoa River; Lom Stave Church
3,2027-05-30,Geiranger,Lom → Geirangerfjord,~2 hr,"Take RV15 from Lom heading northwest → Turn onto RV63 at Grotli towards Geiranger → Stop at Dalsnibba Skywalk (toll road, 1500m) before descending → Descend Ørnevegen (Eagle Road) into Geiranger village — 11 hairpin turns",Hotel buffet included,Café onboard the fjord cruise — salmon wrap,"Brasserie Posten at Hotel Union — Norwegian seafood platter, reindeer fillet, cloudberries for dessert with panoramic Geirangerfjord views. After dinner, use the Hotel Union spa (pools, sauna) or sit on the terrace with a nightcap","Dalsnibba Skywalk: 1,500m viewpoint over Geirangerfjord. Europe's highest fjord view by road; Flydalsjuvet viewpoint: Iconic photo spot looking down Geirangerfjord. The classic postcard view","Dalsnibba Skywalk: 1,500m above the fjord. Unbelievable views over the entire Geirangerfjord; Flydalsjuvet photo stop: The classic Geirangerfjord postcard photo; Geirangerfjord cruise: UNESCO World Heritage fjord. The Seven Sisters and Friaren waterfalls. Lunch on board; Storseterfossen waterfall walk: Walk BEHIND a waterfall. Easy-moderate trail from Geiranger",Epic drive day — Dalsnibba and Flydalsjuvet are quick photo stops. The fjord cruise is the highlight. Evening: explore Geiranger village.,Budget: Grande Fjord Hotel ($180/night) | Mid: Hotel Geiranger ($240/night) | Premium: Hotel Union Geiranger ($320/night),62.1,7.2,Dalsnibba; Flydalsjuvet; Storseterfossen
4,2027-05-31,Geiranger,,,,Hotel buffet included,Westerås Farm café — local goat cheese waffles and berry jam with fjord views,"Naustkroa Café in the village — traditional Norwegian fish soup and local craft beer by the Geiranger waterfront. After dinner, walk down to the fjord shore for sunset photos",,RIB fjord safari: High-speed RIB boat through Geirangerfjord. Get right next to the Seven Sisters waterfall; Geirangerfjord kayaking: Stillwater kayak on the fjord. Paddle right under the waterfalls. Suitable for all skill levels; Ørnevegen (Eagle Road) drive: Historic road with 11 hairpins and a panoramic fjord viewpoint at the top; Westerås Farm hike: Farm trail above Geiranger. Stunning fjord views from the meadow. Easy walk; Skageflå mountain farm hike: Abandoned mountain farm perched 250m above the fjord. Moderate fitness,Full day in Geiranger. Morning: RIB safari. Afternoon: choose between kayaking the fjord or hiking Skageflå. Evening: dinner followed by a casual Eagle Road sunset drive.,Budget: Grande Fjord Hotel ($180/night) | Mid: Hotel Geiranger ($240/night) | Premium: Hotel Union Geiranger ($320/night),62.1,7.2,Seven Sisters; Ørnevegen
5,2027-06-01,Ålesund,Geiranger → Ålesund (via Trollstigen),~2h 30 min,Take Ørnevegen (RV63) up from Geiranger → Continue RV63 north through Valldal valley (famous for strawberries) → Cross Trollstigen mountain pass (check if open — late May borderline) → If Trollstigen closed: take E136 via Åndalsnes (adds 30 min) → Continue to Ålesund via E136 + E39,Hotel buffet included,Valldal strawberry farm café — fresh strawberry cake (late May),"XL Diner — classic Norwegian seafood. Try the bacalao (dried salted cod stew — an Ålesund specialty since the Portuguese trade days), or the fresh catch of the day. After dinner, climb the 418 steps to Aksla viewpoint for the midnight panorama",Trollstigen Viewpoint: Dramatic viewing platform cantilevered over the mountain. 11 hairpin turns below; Gudbrandsjuvet Gorge: Spectacular river gorge with metal walkways over the churning water,Trollstigen mountain pass: Legendary mountain road with 11 hairpin turns. Cantilevered viewing platform. Iconic Norway; Gudbrandsjuvet gorge: Walkways suspended over a raging river gorge; Aksla viewpoint: Climb 418 steps to Ålesund's panoramic city viewpoint. Sweeping views over the archipelago; Art Nouveau architecture walk: Self-guided walk through Europe's most complete Art Nouveau city center,"The Trollstigen drive is a bucket-list experience. Drive the pass at your own pace — cars can stagger by 10 minutes. If Trollstigen is closed due to snow, the E136 alternative through Åndalsnes is still scenic. Evening: walk up Aksla — 418 steps to the city viewpoint.",Budget: Thon Hotel Ålesund ($140/night) | Mid: Quality Hotel Ålesund ($170/night) | Premium: Hotel Brosundet ($220/night),62.4722,6.1543,Trollstigen; Aksla
6,2027-06-02,Ålesund,,,,Hotel buffet included,Café at Atlanterhavsparken — fish and chips with Atlantic views,"Apotekergata No. 5 — modern Norwegian shared plates in a historic Art Nouveau building. Great cocktails and local craft beer. After dinner, take a twilight stroll through the Art Nouveau streets to admire the spire-lit skyline",,"Atlanterhavsparken (Atlantic Sea Park): One of Scandinavia's largest aquariums. Huge ocean tank, penguins, seals; Kayak Brosundet canal: Paddle Ålesund's inner canals right through the city center. Stillwater; Sukkertoppen hike: Short but steep hike to a granite peak (314m). 360° views over Ålesund and the Atlantic; Alnes Lighthouse: Drive to Godøya island. Climb the lighthouse. Rugged Atlantic coast views; Molo Brew taproom: Harborside brewery in a historic pier building",Flex day in Ålesund. Morning: Atlantic Sea Park. Afternoon: choose between kayaking the canals or hiking Sukkertoppen. Late afternoon: Alnes Lighthouse. Evening: Molo Brew taproom.,Budget: Thon Hotel Ålesund ($140/night) | Mid: Quality Hotel Ålesund ($170/night) | Premium: Hotel Brosundet ($220/night),62.4722,6.1543,Atlanterhavsparken; Alnes
7,2027-06-03,Molde,Ålesund → Atlantic Road → Molde,~3 hr,Take E136 east from Ålesund → Turn onto RV64 — drive the Atlantic Ocean Road → Cross 8 bridges between small islands — stop at viewpoints → Continue to the fishing village of Bud → Follow coastal road to Molde,Hotel buffet included,Bryggjen Restaurant in Bud — freshest fish soup and crab sandwiches,"Glass Restaurant at Scandic Seilet — floor-to-ceiling Moldefjord views. Try the bacalao or pan-seared halibut. After dinner, check the view from the Molde panorama terrace (222 peaks visible on clear evenings)",Atlantic Ocean Road viewpoints: 8 stunning bridges connecting islands over the open Atlantic. Norway's most scenic drive; Bud fishing village: Authentic Norwegian fishing village. Coastal fortifications from WWII,"Atlantic Ocean Road: One of the world's most scenic drives. 8.3 km across islands with dramatic bridges; Bud fishing village: Charming coastal village. WWII coastal fort. Fresh fish right from the boats; Varden Molde Panorama: Famous 407m viewpoint over Molde, the Romsdal Alps, and 222 mountain peaks across the fjord",The Atlantic Road offers dramatic bridge crossings and photo opportunities at every stop. Stop at Eldhusøya rest area for the best views. Bud is a peaceful lunch stop. Arrive Molde late afternoon for the Varden viewpoint.,Budget: Thon Hotel Moldefjord ($130/night) | Mid: Molde Fjordhotell ($150/night) | Premium: Scandic Seilet Hotel ($200/night),62.7375,7.1591,Atlantic Road; Varden Molde
8,2027-06-04,Trondheim,Molde → Trondheim,~4h 30 min,Take E39 east from Molde along the Romsdalsfjord → Continue through the scenic Innerdalen valley → Take E6 south into Trondheim → Cross Trondheimsfjord (ferry or drive around),Hotel buffet included,Coffee stop in Kyrksæterøra — traditional lefse and coffee,"Bakklandet Skydsstation — cozy historic inn on Bakklandet cobblestone street. Reindeer stew with lingonberry jam, fresh salmon, or fårikål when available. After dinner, walk across the Old Town Bridge for a Nidaros Cathedral night view",Kvernes Stave Church: Beautiful 14th-century stave church near Averøy. Quick detour,"Kvernes Stave Church; Trondheimsfjord crossing: Drive around Norway's third-longest fjord; Nidaros Cathedral exterior: Scandinavia's largest medieval building. Evening exterior sighting; Evening walk Bakklandet: Trondheim's most charming neighborhood. Colorful wooden houses, cobblestone streets",Longest drive day but last big push. Break it up with Kvernes Stave Church and coffee stops. Arrive Trondheim late afternoon. Evening: walk through Bakklandet — Gamle Bybro (Old Town Bridge) is especially photogenic.,Budget: City Living Schøller Hotel ($110/night) | Mid: Clarion Hotel Trondheim ($150/night) | Premium: Radisson Blu Royal Garden ($180/night),63.4305,10.3951,Kvernes Stave Church; Nidaros Cathedral
9,2027-06-05,Trondheim,,,,Hotel buffet included,Kaffebrenneriet Bakklandet — best coffee and fresh pastries on the cobblestone street,"Farewell dinner at Credo (Michelin-starred new Nordic tasting menu) or Bula Neobistro (relaxed modern Norwegian, great wine list). End the trip at Trondheim Mikrobryggeri for a final Norwegian craft beer",,"Nidaros Cathedral interior tour: Crown jewels, rose window, crypt; Kristiansten Fortress: 17th-century fortress. Cannons, city views, Resistance Museum; Rockheim — National Museum of Pop Music: Interactive music museum. Hands-on exhibits, recording studios; Bakklandet & Gamle Bybro: Shopping and coffee in Trondheim's most photogenic neighborhood; Last-minute Norwegian souvenirs: Trondheim Torg and independent boutiques in Bakklandet",Full city day in Trondheim. Morning: Nidaros Cathedral. Mid-day: Rockheim museum — interactive music exhibits. Afternoon: choose between exploring Kristiansten Fortress or shopping in Bakklandet. Evening: farewell dinner.,Budget: City Living Schøller Hotel ($110/night) | Mid: Clarion Hotel Trondheim ($150/night) | Premium: Radisson Blu Royal Garden ($180/night),63.4305,10.3951,Rockheim; Kristiansten
10,2027-06-06,Depart Trondheim,,,,Hotel buffet included,Airport lounge or grab sandwiches for the plane,In flight,,"Fly home from Trondheim Airport (TRD): CEST → EDT (-6h). Connect via Amsterdam (AMS), Copenhagen (CPH), or Oslo (OSL). KLM, SAS, Norwegian. Return to PIT or MGW; Morning in Trondheim (if late flight): Last walk through Bakklandet, coffee at Kaffebrenneriet, or Ringve Music Museum; Duty-free at TRD: Aquavit, brunost, Norwegian wool",Departure day from Trondheim (TRD). Most US connections route through Amsterdam or Copenhagen. Plan flights to coordinate connections through AMS if possible.,—,63.4543,10.9155,Trondheim Airport
