Day,Date,Base,Drive,Drive Time,Directions,Breakfast,Lunch,Dinner,Stops,Activities,Group Notes,Lodging,Latitude,Longitude,Points of Interest
1,2027-05-28,Oslo,,,,Included hotel buffet,"Kaffistova (traditional Norwegian cafeteria — fårikål, kjøttkaker) or Mathallen Oslo food hall","Restaurant Schrøder — classic Norwegian home-cooking since 1910 (fårikål, kjøttkaker with lingonberry jam). Or Smakverket for modern Norwegian share plates. After dinner, grab a craft beer at Crowbar in Grünerløkka",,"Fly into Oslo Airport (OSL): Depart from Pittsburgh (PIT) or Morgantown (MGW). EDT → CEST (+6h). Each family books their own flights; Oslo Fjord sightseeing cruise: Harbor cruise under bridges, past islands, and through the narrow straits. Low-energy activity that's jet-lag-friendly; Vigeland Sculpture Park: 200+ bronze, granite, and iron sculptures in Frogner Park. The Angry Baby and Monolith are iconic photo stops; Karl Johans gate & Royal Palace: Oslo's main boulevard from Central Station to the Palace. Cafés, shops, and street performers; Oslo Opera House roof walk: Walk the sloping marble roof for panoramic city + fjord views. Iconic photo spot; Grünerløkka brewery crawl: Oslo Mikrobryggeri, Klosteret, Det Lille Bryggeri — craft beer for the adults",Arrive in Oslo on Day 1. Keep Day 1 light — see Jet Lag Playbook. The fjord cruise is a low-energy introduction to Oslo. Vigeland Park is an easy walk with lots of visual interest. The Opera House roof offers panoramic city views. Dinner and drinks in Grünerløkka.,Budget: Citybox Oslo ($95/night) | Mid: Radisson RED Oslo ($118/night) | Premium: Grand Hotel Oslo ($285/night),59.9139,10.7522,Vigeland Park; Opera House
2,2027-05-29,Flåm,Oslo → Flåm,4 hr 29 min (310 km),"Take E16, Rv7, Hallingdalsvegen, Rv52, and E16 to Fv245 in Aurland → Follow E16 through Hemsedal mountain pass — stunning alpine scenery → Take Nedre Fretheim to your destination in Flåm (2 min, 1 km)",Included hotel buffet,"Kiwi in Oslo before departing, or Gol/Borgund cafeteria (waffles & coffee) — classic car picnic with bread, Norvegia cheese, Sylte pork roll, Kvikk Lunsj","Flåm Marina Restaurant — seafood with Aurlandsfjord views. Grilled salmon, fish soup, or traditional fårikål when in season. Afterwards, walk the waterfront path under the midnight sun","Borgund Stave Church: Best preserved stave church, built 1150. Guided tours available; Hemsedal mountain pass: Scenic alpine pass on Rv52. Pull over at the viewpoint for postcard photos; Lærdalstunnelen: World's longest road tunnel (24.5 km). Blue light zones keep you alert",Borgund Stave Church; Hemsedal mountain pass; Lærdalstunnelen,"Drive in separate cars. Meet at Borgund Stave Church and the Hemsedal viewpoint — both are quick, scenic stops. The tunnel is a fun driving experience. Dinner in Flåm.",Budget: Flåm Marina Apartments ($260/night) | Mid: Flåmsbrygga Hotel ($235/night) | Premium: Fretheim Hotel ($248/night),60.8622,7.1141,Borgund Stave Church; Hemsedal
3,2027-05-30,Flåm,,,,Included hotel buffet,"Flåm Bakery — skillingsboller (cinnamon rolls), sourdough bread with brunost (brown cheese), sandwiches for the viewpoint","Fretheim Hotel's Arven Restaurant — upscale local ingredients (lamb, fjord seafood). Or Flåm Marina Terrace for casual fjordside dining. End the evening at Ægir Gastropub for a flight of Viking-inspired ales",,"Aurlandsfjord kayak: Guided stillwater kayak on the fjord. Equipment included, beginners welcome. Several outfitters available; Flåm Railway: Flåm–Myrdal, 867m elevation gain. Stops at Kjosfossen waterfall. Steep scenic climb up the mountain; Stegastein Viewpoint: Wooden viewing platform 650m above Aurlandsfjord. One of the best views in Norway; Brekkefossen hike: Short steep hike from Flåm village up to a waterfall viewpoint. Panorama over Flåm and the fjord; Electric bike Aurland: E-bike around the Aurland area. Gentle grades, scenic roads, less strenuous than Rallarvegen",Morning: take the Flåm Railway (weather-independent). Afternoon: Stegastein viewpoint — panoramic fjord views. Add the Brekkefossen hike for more activity. Dinner in Flåm.,Budget: Flåm Marina Apartments ($260/night) | Mid: Flåmsbrygga Hotel ($235/night) | Premium: Fretheim Hotel ($248/night),60.8622,7.1141,Stegastein; Brekkefossen
4,2027-05-31,Bergen,Flåm → Bergen (via Voss rafting),3 hr 30 min (200 km),Take E16 from Flåm through the Aurland tunnel toward Voss → Stop at Voss Rafting Center for guided rafting on the Raundalselva → Continue E16 past Tvindefossen waterfall into Bergen → Fantoft Disc Golf course near Bergen city center,Included hotel buffet,"Voss Kafé or Voss Rafting Center cafe — burgers, waffles, and coffee after rafting","Bryggen Tracteursted — historic restaurant in the Hanseatic wharf (1710). Bergen fish soup, cured salmon, and pinnekjøtt when in season. After dinner, walk the UNESCO Bryggen wharf by lamplight to the Tower Cellar for a nightcap","Tvindefossen Waterfall: Beautiful roadside waterfall near Voss. Easy photo stop right off E16; Voss Rafting Center: Class 2-3 rapids on Raundalselva River. Guide, wetsuit, gear included. Minimum age 8.",Tvindefossen waterfall; Voss Whitewater Rafting: Mild class 2-3 rapids on the Raundalselva. Guide and gear included.; Fantoft Disc Golf (18 holes): Wooded course near Fantoft Stave Church. 10 min from Bergen city center. Quick round after rafting; Evening walk at Bryggen: Arrive Bergen by late afternoon. Explore the Hanseatic wharf's colorful wooden buildings and harbor lights,"Drive Flåm → Voss. Stop at Tvindefossen waterfall en route. In Voss, the rafting center offers class 2-3 trips on the Raundalselva. Afternoon arrival in Bergen — plenty of time for Fantoft Disc Golf (free 18-hole course, 10 min from city center). Dinner and evening Bryggen walk. With 18+ hours of daylight in late May, there's flexibility to choose activities.",Budget: Citybox Bergen ($110/night) | Mid: Zander K Hotel ($150/night) | Premium: Hotel Norge by Scandic ($300/night),60.3913,5.3221,Tvindefossen; Voss Rafting Center; Fantoft Disc Golf; Bryggen
5,2027-06-01,Bergen,,,,Included hotel buffet,"Fish Market outdoor stalls — fresh shrimp, crab legs, Bergen fish soup. Eat at harborside tables with Bock & Holst craft beer","Bare Vestland — modern Norwegian with locally-sourced seasonal ingredients (reindeer tartare, pickled herring, cloudberry dessert). Or Pingvinen — cozy basement pub for traditional raspeballer (potato dumplings with lamb) and local Hansa beer. End the night at No Stress wine bar with a fireplace",,"Fløibanen funicular to Mt. Fløyen: Cable car 320m up for panoramic Bergen views. Walking trails and playground at the top. Steep 26-degree incline ride.; Bergen Fish Market: World-famous indoor/outdoor market. Fresh seafood, local specialties. Grab a shrimp sandwich; Bryggen & Hanseatic Museum: UNESCO wharf and museum about German Hanseatic merchants in the 14th-16th centuries; Mt. Ulriken cable car: Bergen's highest mountain (643m). Restaurant at top with 360° views — even better than Fløyen; Bergen Fjord cruise to Mostraumen: Sightseeing cruise through narrow straits to the open sea. Dramatic fjord scenery right from the harbor","Full Bergen day. Morning: take Fløyen funicular (short ride, iconic view). Explore Bryggen and the Fish Market around lunchtime. Afternoon options: fjord cruise to Mostraumen or Ulriken cable car. Dinner in Bergen. Bergen on a sunny day is magic.",Budget: Citybox Bergen ($110/night) | Mid: Zander K Hotel ($150/night) | Premium: Hotel Norge by Scandic ($300/night),60.3913,5.3221,Mt. Fløyen; Mt. Ulriken
6,2027-06-02,Hardanger (Eidfjord),Bergen → Eidfjord,2 hr 30 min (145 km),Take Rv7/E16 from Bergen toward Trengereid → Follow Rv7 through Norheimsund to Steinsdalsfossen → Continue Rv7 past Vøringsfossen waterfall → Descend into the Eidfjord valley,Bergen hotel buffet before departing,Øystese Bakery near Steinsdalsfossen — Norwegian pastries and sandwiches. Or car picnic by the fjord (buy at Kiwi in Norheimsund),"Ullensvang Hotel restaurant — historic 1846 hotel right on the fjord. Local Hardanger lamb, fresh trout from the fjord, Hardanger apple juice or cider. After dinner, enjoy the hotel gardens overlooking the fjord at sunset",Steinsdalsfossen Waterfall: Famous waterfall you can walk BEHIND. Right off Rv7.; Vøringsfossen Waterfall: Massive 182m waterfall. New viewing platforms built into the cliff edge; Hardanger Bridge: Suspension bridge across Hardangerfjord. Quick photo from the viewpoint,Walk behind Steinsdalsfossen: Walk the path behind the cascading water.; Vøringsfossen waterfall: 182m waterfall plunge. New cliff-side viewing platforms are spectacular; Hardanger scenic drive: Drive through the fruit orchard region with snow-capped peaks above the fjord,Short scenic drive day. Stop at Steinsdalsfossen — walk behind the waterfall. Then Vøringsfossen with its brand new viewing platforms. Arrive Eidfjord early enough for an afternoon walk along the fjord or a swim. Hardanger is Norway's fruit bowl — stop at a roadside kiosk for apples and cider.,Budget: Eidfjord Gjestehus ($120/night) | Mid: Ullensvang Hotel ($220/night) | Premium: Hotel Ulvik ($350/night),60.4667,7.0833,Steinsdalsfossen; Vøringsfossen
7,2027-06-03,Hardanger (Ulvik),,,,Included hotel buffet,"Pack lunch for the glacier hike — bread, Hardanger geitost (local goat cheese), fruit from the farm. Or kiosk at the Bondhusbrea parking lot","Hotel Ulvik Restaurant — fine dining with floor-to-ceiling fjord panoramas. Wild salmon cured in-house, local lamb with mountain herbs. After dinner, unwind on the hotel pier with a nightcap",,"Bondhusbreen Glacier hike: Easy-to-moderate hike to a stunning blue glacier arm of Folgefonna. Walk right up to the ice face; Hardanger Fruit Farm tour: Visit a local fruit farm. Taste apples, pears, plums, and farm-made apple cider; Hardangerfjord kayak: Guided sea kayak on the Hardangerfjord. Fruit orchards on the shoreline, snowy peaks above; Hardangerfjord cruise: Scenic cruise through the fjord. Waterfalls, glaciers, and fruit farms seen from the water; Trolltunga hike (optional, full day): Full-day guided hike to the Troll's Tongue rock formation. ONLY for very fit, experienced hikers. Book guide in advance","A day in the Hardangerfjord area. Morning: hike to Bondhusbreen glacier (easy trail, stunning blue ice). Afternoon: visit a nearby fruit farm for tastings, then kayak or cruise on the fjord. Hardanger is famous for its apples, plums, and ciders — the fruit farm stop is a unique highlight. For super-fit hikers: Trolltunga (10-12h hike, book a guide, start at 6am).",Budget: Eidfjord Gjestehus ($120/night) | Mid: Ullensvang Hotel ($220/night) | Premium: Hotel Ulvik ($350/night),60.5675,6.9167,Bondhusbreen; Trolltunga
8,2027-06-04,Stavanger,Hardanger → Stavanger,4 hr 15 min (290 km),Take Rv13 from Hardanger south toward Odda → Follow Rv13 through Åkrafjorden — one of Norway's most dramatic drives → Cross ferry Utåker–Ranavik (free with AutoPASS) → Take E134 to ferry Mortavika–Arsvågen (free with AutoPASS) → Follow E39 into Stavanger,Included hotel buffet in Hardanger before departing,"Car picnic at Åkrafjorden viewpoint (buy from Kiwi in Odda) — bread, Norwegian salmon spread, Kvikk Lunsj chocolate bars","Fisketorget Stavanger — indoor food market at the harbor. Try Norwegian fish soup or a reindeer burger alongside fresh seafood. Or Tango Bar & Kjøkken for modern Nordic. After dinner, walk the harbor to explore Stavanger's street art scene",Åkrafjorden viewpoint: Dramatic narrow fjord along Rv13. Towering cliffs on both sides — stop at the viewing platform; Svandalsfossen Waterfall: Multi-tier roadside waterfall. Quick photo stop; Ferry crossings × 2: Two vehicle ferries as part of the normal road network.,Åkrafjord drive: One of the most scenic road stretches in Norway. Cliffside highway through a narrow fjord; Svandalsfossen; Ferry crossings: Two vehicle ferries break up the drive.,Longer drive day (~4h15min) but incredibly scenic. The Rv13 through Åkrafjorden is stunning — towering cliffs rising straight from the road. Two ferry crossings make natural rest stops. Arrive Stavanger late afternoon. Evening: stroll through Gamle Stavanger (old town) with cobblestone streets and white wooden houses.,Budget: Stavanger B&B ($100/night) | Mid: Thon Hotel Maritim ($107/night) | Premium: Clarion Hotel Stavanger ($280/night),58.97,5.7333,Åkrafjorden; Gamle Stavanger
9,2027-06-05,Stavanger,Stavanger → Preikestolen,45 min + 4 hr hike,,Included hotel buffet (early start for Preikestolen — beat the crowds),Pack sandwiches from Kiwi — eat at the Preikestolen summit overlooking Lysefjord. One of the world's best picnic spots,"Farewell dinner at Fisketorget for a final seafood feast, or Mølleren — historic 1800s tavern serving local lamb and fresh fish. Order aquavit for a proper Norwegian send-off. Take a final evening stroll through Øvre Holmegate — Stavanger's colorful old town",,"Preikestolen (Pulpit Rock) hike: Legendary 604m cliff over Lysefjord — Norway's most famous hike. 8 km round trip. Moderate difficulty.; Lysefjord cruise: Cruise from Stavanger into narrow Lysefjord. See Preikestolen from below and the Kjerag boulder perched between cliffs; Sverd i Fjell monument: Three giant bronze swords at Hafrsfjord marking the 872 battle that unified Norway. Quick photo stop; Østervåg harbor food walk: Explore the old fishing harbor. Try komler (potato dumplings) or fresh fish soup; Stokka Disc Golf (18 holes): Park-style course near Stokka lake, 10 min from city center. Flat terrain.",Morning: hike Preikestolen — the #1 attraction in the Stavanger area. Back by early afternoon. Afternoon: Lysefjord cruise (see the rock from below) or explore Gamle Stavanger. Farewell dinner in Stavanger.,Budget: Stavanger B&B ($100/night) | Mid: Thon Hotel Maritim ($107/night) | Premium: Clarion Hotel Stavanger ($280/night),58.9867,6.1867,Preikestolen; Lysefjord; Sverd i Fjell
10,2027-06-06,Depart Stavanger,,,,Godt Brød Stavanger — best kanelboller and coffee in town. Right near the harbor,Airport or on the plane,On the plane or at home,,"Fly home from Stavanger Airport (SVG): CEST → EDT (-6h). Direct seasonal United to Newark (EWR) or connect via Copenhagen/Amsterdam/London. Book early; Morning in Stavanger (if late flight): Walk Østervåg harbor one last time, grab a kanelbolle at Godt Brød, or visit the Norwegian Canning Museum; Duty-free at SVG: Norwegian wool sweaters, brunost, peppermakkels, and aquavit","Departure day from Stavanger Airport (SVG). Stavanger has direct seasonal United flights to Newark (EWR) and excellent connections via Copenhagen, Amsterdam, or London. Coordinate a shared transfer if on the same flight. See Jet Lag Playbook for return trip guidance.",—,58.8767,5.6378,
