Day,Date,Base,Drive,Drive Time,Directions,Breakfast,Lunch,Dinner,Stops,Activities,Group Notes,Lodging,Latitude,Longitude,Points of Interest
1,2027-05-28,Oslo,,,,Included hotel buffet,"Godt Brød coffee shop (skolebrød, open-faced sandwiches) or Mathallen Oslo food hall (Vulkanfisk seafood soup)","Den Glade Gris — Norwegian pork-focused gastropub (try the ribbe or nakkekoteletter). Or RIB for slow-cooked beef ribs. After dinner, walk to Himkok for a craft aquavit cocktail",,"Fly into Oslo Airport (OSL): Depart from Pittsburgh (PIT) or Morgantown (MGW). EDT → CEST (+6h). Families can be on same or separate flights; Explore Aker Brygge waterfront: Stroll the harbor promenade with shops, restaurants, and marina views; National Museum: Munch's The Scream, Viking gold, and Norwegian art. Indoor, central, jet-lag-friendly — right near Opera House; Walk the city center: Karl Johans gate, Royal Palace, Akershus Fortress; Ekebergparken Sculpture Park: Modern art + forest trails with panoramic Oslo Fjord views; Oslo Opera House roof walk: Walk the sloping marble roof for iconic city + fjord views; Grünerløkka brewery crawl: Oslo Mikrobryggeri, Klosteret, Det Lille Bryggeri — craft beer for the adults",Keep Day 1 light — see Jet Lag Playbook. National Museum (The Scream) and the Opera House roof walk are central and easy-paced.,Budget: Citybox Oslo ($95/night) | Mid: Radisson RED Oslo ($118/night) | Premium: Grand Hotel Oslo ($285/night),59.9139,10.7522,
2,2027-05-29,Flåm,Oslo → Flåm,4 hr 29 min (310 km),"Take E16, Rv7, Hallingdalsvegen, Rv52, and E16 to Fv245 in Aurland → Take Nedre Fretheim to your destination in Flåm (2 min, 1 km)",Included hotel buffet,"Kiwi or Rema 1000 in Oslo before departing, or Borgund cafeteria (waffles & coffee) — pack bread, Norvegia cheese, Sylte pork roll, Kvikk Lunsj chocolate for a car picnic","Ægir Gastropub — Viking-themed brewpub in Flåm. Order braised lamb shank or reindeer stew with their award-winning Ægir IPA. Afterwards, walk the Flåm waterfront under the midnight sun","Borgund Stave Church: Best preserved stave church, built 1150. Guided tours available; Rjukandefossen Waterfall: Roadside waterfall along Rv52 — quick photo stop; Lærdalstunnelen: World's longest road tunnel (24.5 km). Illuminated with color zones",Borgund Stave Church; Rjukandefossen waterfall; Lærdalstunnelen & mountain passes,"Drive in separate cars. Borgund Stave Church, Rjukandefossen, and the Lærdalstunnelen are en-route stops. Dinner at Ægir in Flåm.",Budget: Flåm Marina Apartments ($190/night) | Mid: Flåmsbrygga Hotel ($210/night) | Premium: Fretheim Hotel ($248/night),60.8622,7.1141,Borgund Stave Church; Rjukandefossen
3,2027-05-30,Flåm,,,,Included hotel buffet,"Flåm Bakery — skillingsboller (cinnamon rolls), sourdough bread with brunost (brown cheese), or sandwiches to eat by the fjord after kayaking","Flamstova Restaurant for traditional Norwegian home-cooking (fårikål — the national dish, or kjøttkaker with lingonberry jam) or Flåm Marina Terrace for seafood with fjord views. End the evening at Ægir brewpub for a nightcap flight",,"Guided kayak — Njord Kayak: Guided tour on Aurlandsfjord. Equipment included, beginners welcome; Flåm Railway: Flåm–Myrdal, 867m elevation gain. Stops at Kjosfossen waterfall; Stegastein Viewpoint: Wooden viewing platform 650m above Aurlandsfjord with panoramic views; Rallarvegen bike descent: Bike from Myrdal down to Flåm (20 km). Easy grade; Flåm Valley hike: Marked trails up Flåmsdalen. Waterfalls and mountain views. Good for all fitness levels; Ægir BrewPub tour & tasting: Craft beer tasting in a Viking-themed hall",Flåm Railway to Myrdal is the morning centerpiece — bike down via Rallarvegen or ride the train back. Stegastein viewpoint in the afternoon. Dinner at Ægir.,Budget: Flåm Marina Apartments ($190/night) | Mid: Flåmsbrygga Hotel ($210/night) | Premium: Fretheim Hotel ($248/night),60.8622,7.1141,Stegastein; Njord Kayak
4,2027-05-31,Flåm,,,,Included hotel buffet,"Pack from Kiwi in Flåm — bread, cheese, cured meats — and enjoy a picnic at Undredal. Buy Undredal Geitost (famous local goat cheese) from the dairy shop","Fretheim Hotel's Arven Restaurant — upscale local ingredients (lamb, fjord seafood, Sognefjord-inspired cloudberry dessert). Or Ægir brewpub. After dinner, walk down to the Flåm marina for stargazing",,"The Fjords cruise to Undredal: Electric catamaran from Flåm pier. Silent, emission-free. Café on board. Epic fjord scenery for all; Undredal Stave Church: Tiny 12th-century stave church. One of Norway's smallest; Undredal goat cheese dairy: World-famous brown goat cheese tasting; Aurland nature hike: Trails from Aurland into the mountains. Fitness-oriented hike with great views; Kaupanger Disc Golf (18 holes): 35 min from Flåm. Scenic wooded course by the fjord. Bring your own discs or rent; Flåm Railway (bad weather backup): Always a solid choice if the fjord weather turns; Ægir BrewPub dinner & ales: Last night in Flåm at the Viking-themed brewpub","Morning cruise to Undredal. Afternoon options: Aurland hike or disc golf at Kaupanger (18 free holes, 35 min drive from Flåm). Dinner at Ægir.",Budget: Flåm Marina Apartments ($190/night) | Mid: Flåmsbrygga Hotel ($210/night) | Premium: Fretheim Hotel ($248/night),60.8622,7.1141,Undredal
5,2027-06-01,Loen,Flåm → Loen,3 hr 24 min (199 km),"Take Nedre Fretheim to Brekkebrua/E16 (2 min, 1 km) → Follow E16 to Mannheller-Fodnes/Rv5 in Lærdal (43 min, 49.7 km) → Take the Mannheller-Fodnes/Rv5 ferry across the fjord (27 min, 3.1 km) → Follow Rv5 and E39 to Fv60 in Byrkjelo (1 hr 25 min, 98.7 km) → Drive on Fv60 to Loen (46 min, 46.4 km)",Included hotel buffet,"Glacier Museum cafe in Fjærland — warm fish soup, homemade cakes, waffles with brown cheese. Or Bøyabreen kiosk for pølse i lompe (hot dog)",Hotel Alexandra's legendary dinner buffet (seafood-focused spread with fjord views) or Låge Restaurant at Loen Skylift top for 360° mountain views — order local lamb or Nordfjord fish soup. Relax in Hotel Alexandra's spa or outdoor hot tub overlooking the fjord,"Mannheller-Fodnes Ferry: RV5 ferry across Sognefjord. Runs 24/7, frequent departures. Free with AutoPASS; Bøyabreen Glacier: Glacier arm of Jostedalsbreen. Short paved walk from parking to viewpoint; Norwegian Glacier Museum: Interactive exhibits, panorama film, ice experiments. In Fjærland; Loen Skylift: Cable car 1,011m to Mt. Hoven top. Restaurant with panoramic views","Mannheller-Fodnes ferry crossing: Ferry across Sognefjord — stay in the car; Bøyabreen Glacier viewpoint: Quick roadside stop. Short paved walk to the glacier viewpoint; Norwegian Glacier Museum: Interactive exhibits, ice experiments, panorama film; Loen Skylift: Cable car 1,011m to Mt. Hoven. Epic sunset views. Restaurant at top","Scenic drive with ferry crossing, glacier viewpoint, and Glacier Museum en route. Loen Skylift for sunset. Two hotel options in Loen: Hotel Alexandra or Hotel Loenfjord (adjacent).",Mid: Hotel Loenfjord ($257/night) | Premium: Hotel Alexandra ($380/night),61.8786,6.87,Bøyabreen; Glacier Museum; Loen Skylift
6,2027-06-02,Loen,,,,Included hotel buffet,"Pack from Coop Mega in Stryn — bread, makrell i tomat (mackerel in tomato sauce), yogurt, fruit. Eat at a scenic spot along Lake Lovatnet or Briksdal parking area kiosk","Hotel Alexandra Brasserie for pizza & burgers, Stryn Vertshus (15 min drive), or Restaurant Låge at Skylift top. Cap the evening with a sauna at Hotel Alexandra or a drink by the fireplace lounge",,"Briksdal Glacier hike: Troll car ride + short walk to an active glacier arm; Kayak Lake Lovatnet: Guided stillwater kayak on a turquoise glacial lake; Kjenndalen Glacier walk: Less-crowded glacier arm. Short hike. Good option for extra steps and solitude; Loen Skylift sunset: 1,011m to Mt. Hoven summit restaurant — sunset views; Via Ferrata Loen: Guided climbing route on Mt. Hoven. Fitness-oriented. Min age ~10; Oldedalen Valley drive: Scenic dead-end road. Short drive for epic fjord + glacier views. Quick filler activity","Briksdal Glacier in the morning. Afternoon options: Via Ferrata Loen, Kjenndalen Glacier walk, or kayak Lake Lovatnet. Loen Skylift sunset dinner.",Mid: Hotel Loenfjord ($257/night) | Premium: Hotel Alexandra ($380/night),61.8786,6.87,Briksdal Glacier; Lake Lovatnet
7,2027-06-03,Loen,Loen → Jotunheimen area,~3 h,,Included hotel buffet,"Fossheim Bakeri / Lom Bakery — one of Norway's best, right by Lom Stave Church. Kanelboller, cardamom bread, sandwiches, and pies. Or Fossheim Steinsenter cafe",Return to Loen: Hotel Alexandra dinner buffet (Thurs = kjøttkaker night). Or Sjoa Gjestgiveri before the drive back. Last chance for a nightcap by the Nordfjord shore,"Lom Stave Church: Built c.1158. One of largest stave churches. Open May-Sep 10:00-17:00; Utladalen Valley hike: Marked trails near Øvre Årdal in Jotunheimen. Dramatic valley between Hurrungane peaks; Sjoa River rafting: 11 km on Sjoa River. Guide, wetsuit, gear included. Full day $155","Lom Stave Church: Built c.1158 — one of Norway's largest stave churches; Utladalen Valley hike: Scenic hike in Jotunheimen. Dramatic valley with scenery and epic views; Sjoa River rafting: Mild whitewater rafting. Guide, wetsuit, and gear included; Jotunheimen Visitor Center: Trail advice, maps, exhibits on Norway's highest peaks. Quick stop; Lom Bakery cultural stop: Fossheim Bakeri — world-class kanelboller; Medalen Disc Golf (18 holes, Lom): Flat, free course right in Lom village. Quick round for disc golf enthusiasts","Options include Sjoa River rafting, hiking Utladalen Valley in Jotunheimen, or a free 18-hole disc golf course at Medalen in Lom. Lom Bakery for lunch.",Mid: Hotel Loenfjord ($257/night) | Premium: Hotel Alexandra ($380/night),61.8378,8.5683,Lom Stave Church; Utladalen Valley; Sjoa River
8,2027-06-04,Lillehammer,Loen → Lillehammer,4 hr 18 min (303 km),"Take Fv60 to Tonningsgata/Rv15 in Stryn (10 min, 10.5 km) → Follow Rv15, Ottadalsvegen and E6 to Lillehammer (3 hr 56 min, 286 km) → Take Hovearmen, Gudbrandsdalsvegen and Fv213 to Jernbanegata (11 min, 6 km)",Included hotel buffet in Loen before departing,"Sjoa Rafting Center cafe (burgers & coffee after rafting) or Kiwi in Otta — fresh bread, Norwegian cheeses, eplemost (apple juice)","Bardus Bistro in Lillehammer — locally-sourced Norwegian dishes, reindeer burger with lingonberry jam, Gudbrandsdalsost brown cheese ice cream for dessert. Or Olivia in Lillehammer Torg. After dinner, stroll down Storgata or grab a drink at Øverdal Bar & Bistro","Sjoa River rafting (if not Day 7): Second-chance rafting. Morning session before heading east; Ringebu Stave Church: Built c.1220 in Gudbrandsdalen valley. Medieval interior with original furnishings; Arctic Dome Sjusjøen: Glamping geodesic dome. Self-catering, no restaurant. Book ahead","Sjoa River rafting (alternative): Mild whitewater rafting. Guide, wetsuit included; Ringebu Stave Church: Built c.1220 in Gudbrandsdalen valley. Medieval interior with original furnishings; Arctic Dome glamping: Separate geodesic domes for each family. Self-catering; Sjusjøen hiking trails: Forest trails around Sjusjøen lake. Easy to moderate. Evening light hike before glamping; Maihaugen Open-Air Museum: 200+ historic buildings with cultural exhibits; Skogen Disc Golf (18 holes, Lillehammer): Highly-rated wooded course, 10 min from Lillehammer. Rated 4.7 on PDGA",Drive from Loen to Lillehammer (~4.5h). Morning rafting at Sjoa available if not done Day 7. Ringebu Stave Church en route. Evening at Arctic Dome glamping. Skogen Disc Golf (10 min from town) if arriving early.,Budget: Sjusjøen Cabins (self-catering) ($150/night) | Mid: Arctic Dome Sjusjøen ($333/night) | Premium: Scandic Lillehammer Hotel ($220/night),61.1153,10.4663,Ringebu Stave Church; Sjusjøen
9,2027-06-05,Oslo,Lillehammer → Oslo,2 hr 7 min (185 km),"Get on E6 from Mesnadalsvegen (4 min, 1.8 km) → Follow E6 to Dronning Mauds gate in Sentrum, Oslo — take exit 5 from E18 (2 hr 2 min, 183 km) → Turn right onto Dronning Mauds gate (27 sec, 150 m)",Bakeriet på Lillehammer / Bakgården Bakeri & Kaffebar in Lillehammer for exceptional pastries and coffee before departing,"Kiwi or Rema 1000 for drive-back sandwiches, or stop at Strandtorget shopping center","Restaurant Schrøder — classic Norwegian home-cooking since 1910 (fårikål, kjøttkaker with lingonberry jam, torsk with melted butter). Or Maaemo — three Michelin-star new Nordic tasting menu. Finish the trip with a nightcap at the Grand Hotel rooftop bar overlooking Karl Johans gate",,"Drive Lillehammer → Oslo: E6 south, then E18 into Oslo. Quick drive with separate cars; Last-minute shopping: Oslo city center or Bygdøy area. Families can split up; Akershus Fortress walk: Medieval castle and fortress overlooking Oslo Fjord; Fram Museum or Kon-Tiki Museum: Polar exploration ships on Bygdøy; Farewell dinner in Oslo: Restaurant Schrøder (traditional) or Maaemo (Michelin splurge)",Drive Lillehammer → Oslo in separate cars. Arrive Oslo by noon. Farewell dinner in the evening.,Budget: Citybox Oslo ($95/night) | Mid: Radisson RED Oslo ($118/night) | Premium: Grand Hotel Oslo ($285/night),59.9139,10.7522,
10,2027-06-06,Depart Oslo,,,,Hotel buffet or Baker Hansen at Oslo Central Station before the Flytoget,Airport or on the plane,On the plane or at home,,"Fly home from Oslo Airport (OSL): CEST → EDT (-6h). Return to Pittsburgh (PIT) or Morgantown (MGW). May be same or different flights — coordinate ahead; Morning in Oslo (if late flight): Grab a last kanelbolle, walk the Opera House roof, or Vigeland Sculpture Park; Duty-free at OSL: Brunost, aquavit, Norwegian wool. Everyone finds something",Departure day. Travel to OSL via Flytoget (50 min). See Jet Lag Playbook for return trip guidance.,—,59.9139,10.7522,
